UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,REGION_NATURAL,TIPO_MUNI,CLASIFICACION,POB_TOTAL,POB_URBANA,POB_RURAL,GPC_DOM,GPC_MUN
050111,AYACUCHO,HUAMANGA,SANTIAGO DE PISCHA,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,1598.0,733.0,865.0,0.437675332039757,0.62525047434251
050112,AYACUCHO,HUAMANGA,SOCOS,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,6674.0,989.0,5685.0,0.4,0.5714285714285715
050113,AYACUCHO,HUAMANGA,TAMBILLO,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,5835.0,258.0,5577.0,0.38,0.5428571428571428
050114,AYACUCHO,HUAMANGA,VINCHOS,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,15780.0,590.0,15190.0,0.2,0.28571428571428575
050115,AYACUCHO,HUAMANGA,JESUS NAZARENO,SIERRA,DISTRITAL,Sierra con Población urbana entre 10 mil y 50 mil habitantes,20517.0,19385.0,1132.0,0.53,0.7571428571428571
050116,AYACUCHO,HUAMANGA,ANDRES AVELINO CACERES DORREGARAY,SIERRA,DISTRITAL,Sierra con Población urbana entre 10 mil y 50 mil habitantes,30725.0,26859.0,3866.0,0.7,1
050201,AYACUCHO,CANGALLO,CANGALLO,SIERRA,PROVINCIAL,Sierra con Población urbana de hasta 10 mil habitantes,5929.0,2328.0,3601.0,0.31,0.44285714285714295
050202,AYACUCHO,CANGALLO,CHUSCHI,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,9080.0,3283.0,5797.0,0.44,0.6285714285714287
050203,AYACUCHO,CANGALLO,LOS MOROCHUCOS,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,8227.0,2866.0,5361.0,0.33,0.4714285714285715
050204,AYACUCHO,CANGALLO,MARIA PARADO DE BELLIDO,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,2088.0,433.0,1655.0,0.437675332039757,0.62525047434251
050205,AYACUCHO,CANGALLO,PARAS,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,4347.0,1418.0,2929.0,0.437675332039757,0.62525047434251
050206,AYACUCHO,CANGALLO,TOTOS,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,3079.0,1413.0,1666.0,0.437675332039757,0.62525047434251
